"ABILENE-SWEETWATER, TX",ABILENE-SWEETWATER
"BURLINGTON-PLATTSBURGH, VT",BURLINGTON-PLATTSBURGH
"BUTTE-BOZEMAN, MT",BUTTE
"CASPER-RIVERTON, WY",CASPER-RIVERTON
"CEDAR RAPIDS-WTRLO-IWC&DUB, IA",CEDAR_RAPIDS-WATERLOO_AND_DUBQ
"CHAMPAIGN&SPRNGFLD-DECATUR, IL",CHAMPAIGN_AND_SPRNGFLD-DECATUR
"CHAMPAIGN&SPRNGFLD-DECATUR, IN",CHAMPAIGN_AND_SPRNGFLD-DECATUR
"CHARLESTON SC, SC",CHARLESTON_SC
"CHARLESTON-HUNTINGTON, KY",CHARLESTON-HUNTINGTON
"CHARLESTON-HUNTINGTON, OH",CHARLESTON-HUNTINGTON
"CHARLESTON-HUNTINGTON, WV",CHARLESTON-HUNTINGTON
"CHARLOTTE, NC",CHARLOTTE
"CHARLOTTE, SC",CHARLOTTE
"CHARLOTTESVILLE, VA",CHARLOTTESVILLE
"CHATTANOOGA, GA",CHATTANOOGA
"CHATTANOOGA, NC",CHATTANOOGA
"CHATTANOOGA, TN",CHATTANOOGA
"CHEYENNE-SCOTTSBLUFF, NE",CHEYENNE-SCOTTSBLUF-STRLNG
"CHEYENNE-SCOTTSBLUFF, WY",CHEYENNE-SCOTTSBLUF-STRLNG
"CHICAGO, IL",CHICAGO
"CHICAGO, IN",CHICAGO
"CHICO-REDDING, CA",CHICO-REDDING
"CINCINNATI, IN",CINCINNATI
"CINCINNATI, KY",CINCINNATI
"CINCINNATI, OH",CINCINNATI
"CLARKSBURG-WESTON, WV",CLARKSBURG-WESTON
"CLEVELAND-AKRON (CANTON), OH",CLEVELAND
"COLORADO SPRINGS-PUEBLO, CO",COLORADO_SPRINGS-PUEBLO
"COLUMBIA SC, SC",COLUMBIA_SC
"COLUMBIA-JEFFERSON CITY, MO",COLUMBIA-JEFFERSON_CITY
"COLUMBUS GA (OPELIKA AL), AL",COLUMBUS_GA
"COLUMBUS GA (OPELIKA AL), GA",COLUMBUS_GA
"COLUMBUS OH, OH",COLUMBUS_OH
"COLUMBUS-TUPELO-W PNT-HSTN, AL",COLUMBUS-TUPELO-WEST_POINT
"COLUMBUS-TUPELO-W PNT-HSTN, MS",COLUMBUS-TUPELO-WEST_POINT
"CORPUS CHRISTI, TX",CORPUS_CHRISTI
"DALLAS-FT. WORTH, TX",DALLAS-FT_WORTH
"DAVENPORT-R.ISLAND-MOLINE, IA",DAVENPORT-RISLAND-MOLINE
"DAVENPORT-R.ISLAND-MOLINE, IL",DAVENPORT-RISLAND-MOLINE
"DAYTON, OH",DAYTON
"DENVER, CO",DENVER
"DENVER, NE",DENVER
"DENVER, WY",DENVER
"DES MOINES-AMES, IA",DES_MOINES-AMES
"DETROIT, MI",DETROIT
"DOTHAN, AL",DOTHAN
"DOTHAN, FL",DOTHAN
"DOTHAN, GA",DOTHAN
"DULUTH-SUPERIOR, MI",DULUTH-SUPERIOR
"DULUTH-SUPERIOR, MN",DULUTH-SUPERIOR
"DULUTH-SUPERIOR, WI",DULUTH-SUPERIOR
"EL PASO (LAS CRUCES), NM",EL_PASO
"EL PASO (LAS CRUCES), TX",EL_PASO
"ELMIRA (CORNING), NY",ELMIRA
"ELMIRA (CORNING), PA",ELMIRA
"ERIE, PA",ERIE
"EUGENE, OR",EUGENE
"EUREKA, CA",EUREKA
"EVANSVILLE, IL",EVANSVILLE
"EVANSVILLE, IN",EVANSVILLE
"EVANSVILLE, KY",EVANSVILLE
"FAIRBANKS, AK",FAIRBANKS
"FARGO-VALLEY CITY, MN",FARGO-VALLEY_CITY
"FARGO-VALLEY CITY, ND",FARGO-VALLEY_CITY
"FLINT-SAGINAW-BAY CITY, MI",FLINT-SAGINAW-BAY_CITY
"FRESNO-VISALIA, CA",FRESNO-VISALIA
"FT. MYERS-NAPLES, FL",FT_MYERS-NAPLES
"FT. SMITH-FAY-SPRNGDL-RGRS, AR",FT_SMITH
"FT. SMITH-FAY-SPRNGDL-RGRS, OK",FT_SMITH
"FT. WAYNE, IN",FORT_WAYNE
"FT. WAYNE, OH",FORT_WAYNE
"GAINESVILLE, FL",GAINESVILLE
"GLENDIVE, MT",GLENDIVE
"GRAND JUNCTION-MONTROSE, CO",GRAND_JUNCTION-MONTROSE
"GRAND RAPIDS-KALMZOO-B.CRK, MI",GRAND_RAPIDS-KALMZOO-BCRK
"GREAT FALLS, MT",GREAT_FALLS
"GREEN BAY-APPLETON, MI",GREEN_BAY-APPLETON
"GREEN BAY-APPLETON, WI",GREEN_BAY-APPLETON
"GREENSBORO-H.POINT-W.SALEM, NC",GREENSBORO-HPOINT-WSALEM
"GREENSBORO-H.POINT-W.SALEM, VA",GREENSBORO-HPOINT-WSALEM
"GREENVILLE-N.BERN-WASHNGTN, NC",GREENVILLE-NBERN-WASHNGTN
"GREENVLL-SPART-ASHEVLL-AND, GA",GREENVILLE-SPART-ASHEVILLE
"GREENVLL-SPART-ASHEVLL-AND, NC",GREENVILLE-SPART-ASHEVILLE
"GREENVLL-SPART-ASHEVLL-AND, SC",GREENVILLE-SPART-ASHEVILLE
"GREENWOOD-GREENVILLE, MS",GREENWOOD-GREENVILLE
"HARLINGEN-WSLCO-BRNSVL-MCA, TX",HARLINGEN-WESLACO-BRNSVLLE
"HARRISBURG-LNCSTR-LEB-YORK, PA",HARRISBURG-LNCSTR-LEB-YORK
"HARRISONBURG, VA",HARRISONBURG
"HARRISONBURG, WV",HARRISONBURG
"HARTFORD & NEW HAVEN, CT",HARTFORD_AND_NEW_HAVEN
"HATTIESBURG-LAUREL, MS",HATTIESBURG-LAUREL
"HELENA, MT",HELENA
"HONOLULU, HI",HONOLULU
"HOUSTON, TX",HOUSTON
"HUNTSVILLE-DECATUR (FLOR), AL",HUNTSVILLE-DECATURFLOR
"HUNTSVILLE-DECATUR (FLOR), TN",HUNTSVILLE-DECATURFLOR
"IDAHO FALS-POCATLLO(JCKSN), ID",IDAHO_FALLS-POCATELLO
"IDAHO FALS-POCATLLO(JCKSN), WY",IDAHO_FALLS-POCATELLO
"INDIANAPOLIS, IN",INDIANAPOLIS
"JACKSON MS, MS",JACKSON_MS
"JACKSON TN, TN",JACKSON_TN
"JACKSONVILLE, FL",JACKSONVILLE_BRUNSWICK
"JACKSONVILLE, GA",JACKSONVILLE_BRUNSWICK
"JOHNSTOWN-ALTOONA-ST COLGE, PA",JOHNSTOWN-ALTOONA
"JONESBORO, AR",JONESBORO
"JOPLIN-PITTSBURG, KS",JOPLIN-PITTSBURG
"JOPLIN-PITTSBURG, MO",JOPLIN-PITTSBURG
"JUNEAU, AK",JUNEAU
"KANSAS CITY, KS",KANSAS_CITY
"KANSAS CITY, MO",KANSAS_CITY
"KNOXVILLE, KY",KNOXVILLE
"KNOXVILLE, TN",KNOXVILLE
"LA CROSSE-EAU CLAIRE, MN",LA_CROSSE-EAU_CLAIRE
"LA CROSSE-EAU CLAIRE, WI",LA_CROSSE-EAU_CLAIRE
"LAFAYETTE IN, IN",LAFAYETTE_IN
"LAFAYETTE LA, LA",LAFAYETTE_LA
"LAKE CHARLES, LA",LAKE_CHARLES
"LANSING, MI",LANSING
"LAREDO, TX",LAREDO
"LAS VEGAS, NV",LAS_VEGAS
"LEXINGTON, KY",LEXINGTON
"LIMA, OH",LIMA
"LINCOLN & HASTINGS-KRNY, KS",LINCOLN_AND_HSTNGS-KRNY_PLUS
"LINCOLN & HASTINGS-KRNY, NE",LINCOLN_AND_HSTNGS-KRNY_PLUS
"LITTLE ROCK-PINE BLUFF, AR",LITTLE_ROCK-PINE_BLUFF
"LOS ANGELES, CA",LOS_ANGELES
"LOUISVILLE, IN",LOUISVILLE
"LOUISVILLE, KY",LOUISVILLE
"LUBBOCK, TX",LUBBOCK
"MACON, GA",MACON
"MADISON, WI",MADISON
"MANKATO, MN",MANKATO
"MARQUETTE, MI",MARQUETTE
"MEDFORD-KLAMATH FALLS, CA",MEDFORD-KLAMATH_FALLS
"MEDFORD-KLAMATH FALLS, OR",MEDFORD-KLAMATH_FALLS
"MEMPHIS, AR",MEMPHIS
"MEMPHIS, MS",MEMPHIS
"MEMPHIS, TN",MEMPHIS
"MERIDIAN, AL",MERIDIAN
"MERIDIAN, MS",MERIDIAN
"MIAMI-FT. LAUDERDALE, FL",MIAMI-FT_LAUDERDALE
"MILWAUKEE, WI",MILWAUKEE
"MINNEAPOLIS-ST. PAUL, MN",MINNEAPOLIS-ST_PAUL
"MINNEAPOLIS-ST. PAUL, WI",MINNEAPOLIS-ST_PAUL
"MINOT-BSMRCK-DCKNSN(WLSTN), MT",MINOT-BISMARCK-DICKINSON
"MINOT-BSMRCK-DCKNSN(WLSTN), ND",MINOT-BISMARCK-DICKINSON
"MINOT-BSMRCK-DCKNSN(WLSTN), SD",MINOT-BISMARCK-DICKINSON
"MISSOULA, MT",MISSOULA
"MOBILE-PENSACOLA (FT WALT), AL",MOBILE-PENSACOLA
"MOBILE-PENSACOLA (FT WALT), FL",MOBILE-PENSACOLA
"MOBILE-PENSACOLA (FT WALT), MS",MOBILE-PENSACOLA
"MONROE-EL DORADO, AR",MONROE-EL_DORADO
"MONROE-EL DORADO, LA",MONROE-EL_DORADO
"MONTEREY-SALINAS, CA",MONTEREY-SALINAS
"MONTGOMERY-SELMA, AL",MONTGOMERY
"MYRTLE BEACH-FLORENCE, NC",FLORENCE-MYRTLE_BEACH
"MYRTLE BEACH-FLORENCE, SC",FLORENCE-MYRTLE_BEACH
"NASHVILLE, KY",NASHVILLE
"NASHVILLE, TN",NASHVILLE
"NEW ORLEANS, LA",NEW_ORLEANS
"NEW ORLEANS, MS",NEW_ORLEANS
"NEW YORK, CT",NEW_YORK
"NEW YORK, NJ",NEW_YORK
"NEW YORK, NY",NEW_YORK
"NEW YORK, PA",NEW_YORK
"NORFOLK-PORTSMTH-NEWPT NWS, NC",NORFOLK-PORTSMTH-NEWPT_NWS
"NORFOLK-PORTSMTH-NEWPT NWS, VA",NORFOLK-PORTSMTH-NEWPT_NWS
"NORTH PLATTE, NE",NORTH_PLATTE
"ODESSA-MIDLAND, TX",ODESSA-MIDLAND
"OKLAHOMA CITY, OK",OKLAHOMA_CITY
"OMAHA, IA",OMAHA
"OMAHA, MO",OMAHA
"OMAHA, NE",OMAHA
"ORLANDO-DAYTONA BCH-MELBRN, FL",ORLANDO-DAYTONA_BCH-MELBRN
"OTTUMWA-KIRKSVILLE, IA",OTTUMWA-KIRKSVILLE
"OTTUMWA-KIRKSVILLE, MO",OTTUMWA-KIRKSVILLE
"PADUCAH-CAPE GIRARD-HARSBG, IL",PADUCAH-CGIRD-HARBG-MT_VN
"PADUCAH-CAPE GIRARD-HARSBG, KY",PADUCAH-CGIRD-HARBG-MT_VN
"PADUCAH-CAPE GIRARD-HARSBG, MO",PADUCAH-CGIRD-HARBG-MT_VN
"PADUCAH-CAPE GIRARD-HARSBG, TN",PADUCAH-CGIRD-HARBG-MT_VN
"PANAMA CITY, FL",PANAMA_CITY
"PARKERSBURG, OH",PARKERSBURG
"PARKERSBURG, WV",PARKERSBURG
"PEORIA-BLOOMINGTON, IL",PEORIA-BLOOMINGTON
"PHILADELPHIA, DE",PHILADELPHIA
"PHILADELPHIA, NJ",PHILADELPHIA
"PHILADELPHIA, PA",PHILADELPHIA
"PHOENIX (PRESCOTT), AZ",PHOENIX
"PITTSBURGH, MD",PITTSBURGH
"PITTSBURGH, PA",PITTSBURGH
"PITTSBURGH, WV",PITTSBURGH
"PORTLAND OR, OR",PORTLAND_OR
"PORTLAND OR, WA",PORTLAND_OR
"PORTLAND-AUBURN, ME",PORTLAND-AUBURN
"PORTLAND-AUBURN, NH",PORTLAND-AUBURN
"PRESQUE ISLE, ME",PRESQUE_ISLE
"PROVIDENCE-NEW BEDFORD, MA",PROVIDENCE-NEW_BEDFORD
"PROVIDENCE-NEW BEDFORD, RI",PROVIDENCE-NEW_BEDFORD
"QUINCY-HANNIBAL-KEOKUK, IA",QUINCY-HANNIBAL-KEOKUK
"QUINCY-HANNIBAL-KEOKUK, IL",QUINCY-HANNIBAL-KEOKUK
"QUINCY-HANNIBAL-KEOKUK, MO",QUINCY-HANNIBAL-KEOKUK
"RALEIGH-DURHAM (FAYETVLLE), NC",RALEIGH-DURHAM
"RALEIGH-DURHAM (FAYETVLLE), VA",RALEIGH-DURHAM
"RAPID CITY, MT",RAPID_CITY
"RAPID CITY, SD",RAPID_CITY
"RAPID CITY, WY",RAPID_CITY
"RENO, CA",RENO
"RENO, NV",RENO
"RICHMOND-PETERSBURG, VA",RICHMOND-PETERSBURG
"ROANOKE-LYNCHBURG, VA",ROANOKE-LYNCHBURG
"ROANOKE-LYNCHBURG, WV",ROANOKE-LYNCHBURG
"ROCHESTER NY, NY",ROCHESTER_NY
"ROCHESTR-MASON CITY-AUSTIN, IA",ROCHESTR-MASON_CITY-AUSTIN
"ROCHESTR-MASON CITY-AUSTIN, MN",ROCHESTR-MASON_CITY-AUSTIN
"ROCKFORD, IL",ROCKFORD
"SACRAMNTO-STKTON-MODESTO, CA",SACRAMNTO-STKTN-MODESTO
"SALISBURY, DE",SALISBURY
"SALISBURY, MD",SALISBURY
"SALT LAKE CITY, ID",SALT_LAKE_CITY
"SALT LAKE CITY, NV",SALT_LAKE_CITY
"SALT LAKE CITY, UT",SALT_LAKE_CITY
"SALT LAKE CITY, WY",SALT_LAKE_CITY
"SAN ANGELO, TX",SAN_ANGELO
"SAN ANTONIO, TX",SAN_ANTONIO
"SAN DIEGO, CA",SAN_DIEGO
"SAN FRANCISCO-OAK-SAN JOSE, CA",SAN_FRANCISCO-OAK-SAN_JOSE
"SANTABARBRA-SANMAR-SANLUOB, CA",SANTABARBRA-SANMAR-SANLUOB
"SAVANNAH, GA",SAVANNAH
"SAVANNAH, SC",SAVANNAH
"SEATTLE-TACOMA, WA",SEATTLE-TACOMA
"SHERMAN-ADA, OK",ADA-ARDMORE
"SHERMAN-ADA, TX",ADA-ARDMORE
"SHREVEPORT, AR",SHREVEPORT
"SHREVEPORT, LA",SHREVEPORT
"SHREVEPORT, TX",SHREVEPORT
"SIOUX CITY, IA",SIOUX_CITY
"SIOUX CITY, NE",SIOUX_CITY
"SIOUX CITY, SD",SIOUX_CITY
"SIOUX FALLS(MITCHELL), IA",SIOUX_FALLSMITCHELL
"SIOUX FALLS(MITCHELL), MN",SIOUX_FALLSMITCHELL
"SIOUX FALLS(MITCHELL), NE",SIOUX_FALLSMITCHELL
"SIOUX FALLS(MITCHELL), SD",SIOUX_FALLSMITCHELL
"SOUTH BEND-ELKHART, IN",SOUTH_BEND-ELKHART
"SOUTH BEND-ELKHART, MI",SOUTH_BEND-ELKHART
"SPOKANE, ID",SPOKANE
"SPOKANE, MT",SPOKANE
"SPOKANE, OR",SPOKANE
"SPOKANE, WA",SPOKANE
"SPRINGFIELD MO, AR",SPRINGFIELD_MO
"SPRINGFIELD MO, MO",SPRINGFIELD_MO
"SPRINGFIELD-HOLYOKE, MA",SPRINGFIELD-HOLYOKE
"ST. JOSEPH, KS",SAINT_JOSEPH
"ST. JOSEPH, MO",SAINT_JOSEPH
"ST. LOUIS, IL",ST_LOUIS
"ST. LOUIS, MO",ST_LOUIS
"SYRACUSE, NY",SYRACUSE
"TALLAHASSEE-THOMASVILLE, FL",TALLAHASSEE-THOMASVILLE
"TALLAHASSEE-THOMASVILLE, GA",TALLAHASSEE-THOMASVILLE
"TAMPA-ST. PETE (SARASOTA), FL",TAMPA-ST_PETESARASOTA
"TERRE HAUTE, IL",TERRE_HAUTE
"TERRE HAUTE, IN",TERRE_HAUTE
"TOLEDO, MI",TOLEDO
"TOLEDO, OH",TOLEDO
"TOPEKA, KS",TOPEKA
"TRAVERSE CITY-CADILLAC, MI",TRAVERSE_CITY-CADILLAC
"TRI-CITIES TN-VA, KY",TRI-CITIES_TN-VA
"TRI-CITIES TN-VA, TN",TRI-CITIES_TN-VA
"TRI-CITIES TN-VA, VA",TRI-CITIES_TN-VA
"TUCSON (SIERRA VISTA), AZ",TUCSON_-_SIERRA_VISTA
"TULSA, KS",TULSA
"TULSA, OK",TULSA
"TWIN FALLS, ID",TWIN_FALLS
"TYLER-LONGVIEW(LFKN&NCGD), TX",TYLER
UNKNOWN,UNASSIGNED
"UTICA, NY",UTICA
"VICTORIA, TX",VICTORIA
"WACO-TEMPLE-BRYAN, TX",WACO-TEMPLE-BRYAN
"WASHINGTON DC(HAGRSTWN), DC",WASHINGTON_DC
"WASHINGTON DC(HAGRSTWN), MD",WASHINGTON_DC
"WASHINGTON DC(HAGRSTWN), PA",WASHINGTON_DC
"WASHINGTON DC(HAGRSTWN), VA",WASHINGTON_DC
"WASHINGTON DC(HAGRSTWN), WV",WASHINGTON_DC
"WATERTOWN, NY",WATERTOWN
"WAUSAU-RHINELANDER, WI",WAUSAU-RHINELANDER
"WEST PALM BEACH-FT. PIERCE, FL",PALM_BEACH
"WHEELING-STEUBENVILLE, OH",WHEELING-STEUBENVILLE
"WHEELING-STEUBENVILLE, WV",WHEELING-STEUBENVILLE
"WICHITA FALLS & LAWTON, OK",WICHITA_FALLS_AND_LAWTON
"WICHITA FALLS & LAWTON, TX",WICHITA_FALLS_AND_LAWTON
"WICHITA-HUTCHINSON PLUS, KS",WICHITA-HUTCHINSON_PLUS
"WILKES BARRE-SCRANTON, PA",WILKES_BARRE-SCRANTON
"WILMINGTON, NC",WILMINGTON
"YAKIMA-PASCO-RCHLND-KNNWCK, OR",YAKIMA-PASCO-RCHLND-KNNWCK
"YAKIMA-PASCO-RCHLND-KNNWCK, WA",YAKIMA-PASCO-RCHLND-KNNWCK
"YOUNGSTOWN, OH",YOUNGSTOWN
"YOUNGSTOWN, PA",YOUNGSTOWN
"YUMA-EL CENTRO, AZ",YUMA-EL_CENTRO
"YUMA-EL CENTRO, CA",YUMA-EL_CENTRO
"ZANESVILLE, OH",ZANESVILLE
,PALM_SPRINGS
,PUERTO_RICO
